id|dsstox_substance_id|dsstox_casrn|preferred_name|chemistry_team_mapping
1|DTXSID3061635|1229-55-6||1
2|DTXSID6044519|116-66-5||1
3|DTXSID7031290|54464-57-2||1
4|DTXSID7020687|608-73-1||1
5|DTXSID1021116|62-44-2||1
6|DTXSID9022360|140-66-9||1
7|DTXSID4022527|94-13-3||1
8|DTXSID3020209|94-26-8||1
9|DTXSID0020868|75-09-2||1
10|DTXSID6020438|107-06-2||1
11|DTXSID0021383|79-01-6||1
12|DTXSID3039242|71-43-2||1
13|DTXSID4020533|123-91-1||1
14|DTXSID2021284|100-42-5||1
15|DTXSID2020139|50-32-8||1
16|DTXSID2021731|67-56-1||1
17|DTXSID3021516|78-93-3||1
18|DTXSID6026298|108-38-3||1
19|DTXSID7021360|108-88-3||1
20|DTXSID2021319|127-18-4||1
21|DTXSID4025371|151-67-7||1
22|DTXSID0021917|110-54-3||1
23|DTXSID3020752|26675-46-7||1
24|DTXSID0021381|71-55-6||1
25|DTXSID4021557|74-95-3||1
26|DTXSID5020029|107-13-1||1
27|DTXSID8024521|994-05-8||1
28|DTXSID0020448|78-87-5||1
29|DTXSID3020833|1634-04-4||1
30|DTXSID0025604|637-92-3||1
31|DTXSID3022405|131-57-7||1
32|DTXSID3026148|546-80-5||1
33|DTXSID7029904|678-39-7||1
34|DTXSID3040774|76231-76-0||1
35|DTXSID4024642|5589-96-8||1
36|DTXSID1023815|631-64-1||1
37|DTXSID2020428|79-43-6||1
38|DTXSID2021781|84-74-2||1
39|DTXSID0022985|299-42-3||1
40|DTXSID80904678|NOCAS_904678||1
41|DTXSID1036919|9004-67-5||1
42|DTXSID5024219|14797-65-0||1
43|DTXSID2021103|1825-21-4||1
44|DTXSID0021125|77-09-8||1
45|DTXSID7023510|125-33-7||1
46|DTXSID1034187|10540-29-1||1
47|DTXSID8021301|54965-24-1||1
48|DTXSID3037709|3871-99-6||1
49|DTXSID3037707|29420-49-3||1
50|DTXSID3031862|307-24-4||1
51|DTXSID8031865|335-67-1||1
52|DTXSID3031860|335-76-2||1
53|DTXSID80108992|45298-90-6||1
54|DTXSID9021924|110-86-1||1
55|DTXSID4022107|693-98-1||1
56|DTXSID9025617|822-36-6||1
57|DTXSID1026118|119-64-2||1
58|DTXSID1020198|75-27-4||1
59|DTXSID4023917|111-91-1||1
60|DTXSID1051432|123-93-3||1
61|DTXSID30575892|563-96-2||1
62|DTXSID7022413|97-54-1||1
63|DTXSID5025607|93-15-2||1
64|DTXSID1021087|604-75-1||1
65|DTXSID5025231|518-82-1||1
66|DTXSID7021106|87-86-5||1
67|DTXSID0020652|25812-30-0||1
68|DTXSID0020442|94-75-7||1
69|DTXSID5030955|76-22-2||1
70|DTXSID3020095|84-65-1||1
71|DTXSID6023947|75-15-0||1
72|DTXSID5023794|434-07-1||1
73|DTXSID8020913|91-20-3||1
74|DTXSID0021961|119-61-9||1
75|DTXSID8025337|75-12-7||1
76|DTXSID4020290|50892-23-4||1
77|DTXSID2020682|118-74-1||1
78|DTXSID9030258|96-47-9||1
79|DTXSID5020285|127-00-4||1
80|DTXSID2021315|1746-01-6||1
81|DTXSID7030066|57117-31-4||1
82|DTXSID3032179|57465-28-8||1
83|DTXSID1022265|15972-60-8||1
84|DTXSID4022577|28981-97-7||1
85|DTXSID6021117|60-80-0||1
86|DTXSID9032329|741-58-2||1
87|DTXSID7020182|80-05-7||1
88|DTXSID6034392|188425-85-6||1
89|DTXSID7046627|147536-97-8||1
90|DTXSID9020247|63-25-2||1
91|DTXSID4024729|10605-21-7||1
92|DTXSID3034872|1698-60-8||1
93|DTXSID4020458|2921-88-2||1
94|DTXSID5032600|113136-77-9||1
95|DTXSID0020365|59865-13-3||1
96|DTXSID5037523|962-58-3||1
97|DTXSID6022923|15307-86-5||1
98|DTXSID50881104|34933-06-7||1
99|DTXSID4032376|87674-68-8||1
100|DTXSID8034586|153233-91-1||1
101|DTXSID2032390|60168-88-9||1
102|DTXSID2032552|142459-58-3||1
103|DTXSID4032405|23422-53-9||1
104|DTXSID5020732|15687-27-1||1
105|DTXSID8024151|35554-44-0||1
106|DTXSID5032442|138261-41-3||1
107|DTXSID1043881|50-49-7||1
108|DTXSID2023309|51384-51-1||1
109|DTXSID5023320|59467-70-8||1
110|DTXSID2046624|75530-68-6||1
111|DTXSID5034773|116714-46-6||1
112|DTXSID8023393|99614-02-5||1
113|DTXSID8022292|52645-53-1||1
114|DTXSID8020541|57-41-0||1
115|DTXSID6034849|25606-41-1||1
116|DTXSID2020420|23950-58-5||1
117|DTXSID8032673|123343-16-8||1
118|DTXSID7022253|10453-86-8||1
119|DTXSID2039336|28434-00-6||1
120|DTXSID4021268|122-34-9||1
121|DTXSID8021359|64-77-7||1
122|DTXSID5032498|3380-34-5||1
123|DTXSID6023733|99-66-1||1
124|DTXSID3024289|129-00-0||1
125|DTXSID0026882|111-65-9||1
126|DTXSID3020596|100-41-4||1
127|DTXSID1020306|67-66-3||1
128|DTXSID8021438|75-35-4||1
129|DTXSID8021434|75-01-4||1
130|DTXSID1021328|109-99-9||1
131|DTXSID9025796|111-84-2||1
132|DTXSID6020856|872-50-4||1
133|DTXSID6020646|110-00-9||1
134|DTXSID7020689|67-72-1||1
135|DTXSID9020584|64-17-5||1
136|DTXSID6024913|124-18-5||1
137|DTXSID4020298|108-90-7||1
138|DTXSID8020250|56-23-5||1
139|DTXSID1024097|111-76-2||1
140|DTXSID3020203|106-99-0||1
141|DTXSID6021402|95-63-6||1
142|DTXSID5021380|79-00-5||1
143|DTXSID2021317|630-20-6||1
144|DTXSID7020762|67-63-0||1
256|DTXSID20873970|14762-75-5||1
257|DTXSID70158385|13382-47-3||1
258|DTXSID5021124|108-95-2||1
259|DTXSID7038319|13345-21-6||1
260|DTXSID20170012|17573-21-6||1
261|DTXSID40158115|13345-23-8||1
262|DTXSID80881374|10028-17-8||1
263|DTXSID60221219|71-47-6||1
264|DTXSID5027273|630-08-0||1
265|DTXSID1021378|76-03-9||1
266|DTXSID1021950|115-20-8||1
267|DTXSID0041436|75-85-4||1
268|DTXSID7020261|302-17-0||1
269|DTXSID30242658|97-25-6||1
271|DTXSID8020204|75-65-0||1
272|DTXSID4032954|594-61-6||1
273|DTXSID80204382|558-43-0||1
274|DTXSID50871126|5396-58-7||1
275|DTXSID20211535|625-08-1||1
276|DTXSID70863265|3739-30-8||1
277|DTXSID9046073|495-69-2||1
278|DTXSID4027028|124-38-9||1
279|DTXSID8022406|131-56-6||1
280|DTXSID90382620|812-70-4||1
283|DTXSID5021594|298-12-4||1
284|DTXSID0025816|144-62-7||1
285|DTXSID4040002|131-70-4||1
286|DTXSID0020232|58-08-2||1
287|DTXSID0023537|90-82-4||1
290|DTXSID70904607|15265-26-6||1
291|DTXSID5021122|50-06-6||1
292|DTXSID10169854|174592-47-3||1
294|DTXSID3037094|68392-35-8||1
295|DTXSID20230862|81024-43-3||1
296|DTXSID6022896|50-47-5||1
297|DTXSID60230861|81024-42-2||1
